person,id,nnddId,birthday,birthplace,gender,raceOrEthnicity,sexualOrienation,type
Adam McKay,Q350405,NA,17-Apr-1968,"Philadelphia, PA",Male,White,Straight,"Director, Producer"
Alejandro González Iñárritu,Q55215,NA,15-Aug-1963,"Mexico City, Mexico",Male,Hispanic,Straight,"Director, Producer"
Alicia Vikander,Q439314,NA,03-Oct-1988,"Gothenburg, Sweden",Female,White,Straight,Actor
Anne Shirley,Q771213,NA,17-Apr-1918,"New York, NY",Female,White,Straight,Actor
Anthony Harvey,Q543124,NA,03-Jun-1930,"London, England",Male,White,Straight,Director
Arthur Kennedy,Q351838,NA,17-Feb-1914,"Worcester, MA",Male,White,Straight,Actor
Barbara Harris,Q807461,NA,25-Jul-1935,"Evanston, IL",Female,White,Straight,Actor
Barkhad Abdi,Q15381644,NA,10-Apr-1985,"Banaadir, Somali Democratic Republic",Male,Black,Straight,"Actor, Director"
Barry Jenkins,Q26821227,NA,19-Nov-1979,"Miami, FL",Male,Black,Straight,"Actor, Producer"
Ben Johnson,Q224054,NA,13-Jun-1918,"Foraker, OK",Male,White,Straight,Actor
Benh Zeitlin,Q555180,NA,14-Oct-1982,"Manhattan, NY",Male,White,Straight,"Composer, Animator"
Bennett Miller,Q817863,NA,30-Dec-1966,"New York, NY",Male,White,Straight,"Director, Producer"
Betty Compson,Q255846,NA,19-Mar-1897,"Beaver, UT",Female,White,Straight,Actor
Catalina Sandino Moreno,Q229972,NA,19-Apr-1981,"Bogota, Colombia",Female,Hispanic,Straight,Actor
Chris Noonan,Q185846,NA,14-Nov-1952,"Sydney, Australia",Male,White,Straight,"Director, Producer"
Colette Marchand,Q542637,NA,29-Apr-1925,"Paris, France",Female,White,Straight,Actor
Corinne Griffith,Q272079,NA,21-Nov-1894,"Texarkana, TX",Female,White,Straight,"Actor, Producer"
Damien Chazelle,Q18350026,NA,19-Jan-1985,"Providence, RI",Male,White,Straight,Director
Daniel Kaluuya,Q510970,NA,24-Feb-1989,"London, England",Male,Black,Straight,Actor
Daniel Massey,Q16230217,NA,10-Oct-1933,"London, England",Male,White,Straight,Actor
Denis Villeneuve,Q548823,NA,03-Oct-1967,"Quebec, Canada",Male,White,Straight,Director
Don Murray,Q950588,NA,31-Jul-1929,"Hollywood, CA",Male,White,Straight,Actor
Emmanuelle Riva,Q436996,NA,24-Feb-1927,"Chenimenil, France",Female,White,Straight,Actor
Fernando Meirelles,Q343293,NA,09-Nov-1955,"Sao Paulo, Brazil",Male,White,Straight,"Director, Producer"
George Miller,Q408650,NA,03-Mar-1945,"Brisbane, Australia",Male,White,Straight,"Director, Producer"
Gillo Pontecorvo,Q53031,NA,19-Nov-1919,"Rome, Italy",Male,White,Straight,Director
Harry Carey,Q1586425,NA,16-Jan-1878,"The Bronx, NY",Male,White,Straight,Actor
Henry King,Q577527,NA,24-Jan-1886,"Christiansburg, VI",Male,White,Straight,Director
Herbert Brenon,Q957475,NA,13-Jan-1880,"Kingstown, Ireland",Male,White,Straight,Director
Hiroshi Teshigahara,Q741623,NA,28-Jan-1927,"Tokyo, Japan",Male,Asian,Straight,Director
Hugh Hudson,Q538578,NA,25-Aug-1936,"London, England",Male,White,Straight,"Director, Producer"
Ida Kamińska,Q284087,NA,18-Sep-1899,"Odessa, Ukraine",Female,White,Straight,"Actor, Director"
Jacki Weaver,Q241897,NA,25-May-1947,"Sydney, Australia",Female,White,Straight,Actor
James Cagney,Q94041,NA,17-Jul-1899,"New York, NY",Male,White,Straight,Actor
James Dunn,Q1442674,NA,02-Nov-1901,"New York, NY",Male,White,Straight,Actor
