"","awards","person","detail","result","year","url","X","Awardee","Gender"
"1","Best Actor","Gary Oldman "," Darkest Hour as Winston Churchill","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",1,"Person","Male"
"2","Best Actor","Timothée Chalamet "," Call Me by Your Name as Elio Perlman","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",1,"Person","Male"
"3","Best Actor","Daniel Day-Lewis "," Phantom Thread as Reynolds Woodcock","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",1,"Person","Male"
"4","Best Actor","Daniel Kaluuya "," Get Out as Chris Washington","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",1,"Person","Male"
"5","Best Actor","Denzel Washington "," Roman J. Israel, Esq. as Roman J. Israel","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",1,"Person","Male"
"6","Best Actress","Frances McDormand "," Three Billboards Outside Ebbing, Missouri as Mildred Hayes","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",2,"Person","Female"
"7","Best Actress","Sally Hawkins "," The Shape of Water as Elisa Esposito","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",2,"Person","Female"
"8","Best Actress","Margot Robbie "," I, Tonya as Tonya Harding","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",2,"Person","Female"
"9","Best Actress","Saoirse Ronan "," Lady Bird as Christine ""Lady Bird"" McPherson","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",2,"Person","Female"
"10","Best Actress","Meryl Streep "," The Post as Katharine Graham","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",2,"Person","Female"
"11","Best Adapted Screenplay","Call Me by Your Name "," James Ivory based on the novel by André Aciman","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",3,"Film",""
"12","Best Adapted Screenplay","The Disaster Artist "," Scott Neustadter and Michael H. Weber based on the book by Greg Sestero and Tom Bissell","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",3,"Film",""
"13","Best Adapted Screenplay","Logan "," Screenplay by Scott Frank, James Mangold and Michael Green; Story by James Mangold based on characters from the X-Men comic books and theatrical motion pictures","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",3,"Film",""
"14","Best Adapted Screenplay","Molly's Game "," Aaron Sorkin based on the memoir by Molly Bloom","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",3,"Film",""
"15","Best Adapted Screenplay","Mudbound "," Virgil Williams and Dee Rees based on the novel by Hillary Jordan","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",3,"Film",""
"16","Best Animated Feature Film","Coco "," Lee Unkrich and Darla K. Anderson","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",4,"Film",""
"17","Best Animated Feature Film","The Boss Baby "," Tom McGrath and Ramsey Ann Naito","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",4,"Film",""
"18","Best Animated Feature Film","The Breadwinner "," Nora Twomey and Anthony Leo","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",4,"Film",""
"19","Best Animated Feature Film","Ferdinand "," Carlos Saldanha and Lori Forte","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",4,"Film",""
"20","Best Animated Feature Film","Loving Vincent "," Dorota Kobiela, Hugh Welchman and Ivan Mactaggart","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",4,"Film",""
"21","Best Animated Short Film","Dear Basketball "," Glen Keane and Kobe Bryant","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",5,"Film",""
"22","Best Animated Short Film","Garden Party "," Victor Caire and Gabriel Grapperon","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",5,"Film",""
"23","Best Animated Short Film","Lou "," Dave Mullins and Dana Murray","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",5,"Film",""
"24","Best Animated Short Film","Negative Space "," Max Porter and Ru Kuwahata","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",5,"Film",""
"25","Best Animated Short Film","Revolting Rhymes "," Jakob Schuh and Jan Lachauer","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",5,"Film",""
"26","Best Cinematography","Blade Runner 2049 "," Roger Deakins","winner",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",6,"Film",""
"27","Best Cinematography","Darkest Hour "," Bruno Delbonnel","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",6,"Film",""
"28","Best Cinematography","Dunkirk "," Hoyte van Hoytema","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",6,"Film",""
"29","Best Cinematography","Mudbound "," Rachel Morrison","nominated",2018,"https://en.wikipedia.org/wiki/90th_Academy_Awards",6,"Film",""
