person,id,nnddId,birthday,birthplace,gender,raceOrEthnicity,sexualOrienation,type
Gary Oldman,Q83492,550/000022484,21-Mar-1958,"New Cross, South London, England",Male,White,Straight,Actor
Timothée Chalamet,Q19877770,NA,NA,NA,NA,NA,NA,NA
Daniel Day-Lewis,Q166389,788/000022722,29-Apr-1957,"London, England",Male,White,Straight,Actor
Daniel Kaluuya,Q510970,NA,NA,NA,NA,NA,NA,NA
Denzel Washington,Q42101,665/000023596,28-Dec-1954,"Mount Vernon, NY",Male,Black,Straight,Actor
Frances McDormand,Q204299,517/000025442,23-Jun-1957,"Chicago, IL",Female,White,Straight,Actor
Sally Hawkins,Q233563,640/000347596,27-Apr-1976,"London, England",Female,White,NA,Actor
Margot Robbie,Q1924847,NA,NA,NA,NA,NA,NA,NA
Saoirse Ronan,Q228603,184/000272365,12-Apr-1994,New York City,Female,White,NA,Actor
Meryl Streep,Q873,001/000024926,22-Jun-1949,"Summit, NJ",Female,White,Straight,Actor
Guillermo del Toro,Q219124,569/000044437,9-Oct-1964,"Guadalajara, Jalisco, Mexico",Male,Hispanic,Straight,Film Director
Christopher Nolan,Q25191,178/000160695,30-Jul-1970,"London, England",Male,White,Straight,Film Director
Jordan Peele,Q3371986,161/000348114,21-Feb-1979,New York City,Male,Black,Straight,Actor
Greta Gerwig,Q271967,260/000353198,4-Aug-1983,"Sacramento, CA",Female,White,NA,Actor
Paul Thomas Anderson,Q25132,401/000108077,26-Jun-1970,"Studio City, CA",Male,White,Straight,Film Director
Sam Rockwell,Q316446,926/000108602,5-Nov-1968,"Daly City, CA",Male,White,NA,Actor
Willem Dafoe,Q188772,789/000022723,22-Jul-1955,"Appleton, WI",Male,White,Straight,Actor
Woody Harrelson,Q201279,666/000023597,23-Jul-1961,"Midland, TX",Male,White,Straight,Actor
Richard Jenkins,Q313043,044/000130651,2-Dec-1953,De,Male,White,NA,Actor
Christopher Plummer,Q190523,316/000023247,13-Dec-1929,"Toronto, Ontario, Canada",Male,White,Straight,Actor
Allison Janney,Q229487,258/000082012,19-Nov-1959,"Dayton, OH",Female,White,Straight,Actor
Mary J. Blige,Q228909,242/000026164,11-Jan-1971,"Bronx, NY",Female,Black,Straight,Musician
Lesley Manville,Q444410,NA,NA,NA,NA,NA,NA,NA
Laurie Metcalf,Q236711,426/000025351,16-Jun-1955,"Carbondale, IL",Female,White,Straight,Actor
Octavia Spencer,Q229254,304/000281458,25-May-1972,"Montgomery, AL",Female,Black,NA,Actor
Casey Affleck,Q270730,339/000026261,12-Aug-1975,"Falmouth, MA",Male,White,Straight,Actor
Andrew Garfield,Q23891,597/000269787,20-Aug-1983,"Los Angeles, CA",Male,White,Straight,Actor
Ryan Gosling,Q193815,974/000050824,12-Nov-1980,"London, Ontario, Canada",Male,White,Straight,Actor
Viggo Mortensen,Q171363,671/000030581,20-Oct-1958,"Manhattan, NY",Male,White,Straight,Actor
Emma Stone,Q147077,665/000268858,6-Nov-1988,"Scottsdale, AZ",Female,White,NA,Actor
Isabelle Huppert,Q106365,770/000092494,16-Mar-1953,"Paris, France",Female,White,Straight,Actor
Ruth Negga,Q3453629,NA,NA,NA,NA,NA,NA,NA
Natalie Portman,Q37876,040/000022971,9-Jun-1981,"Jerusalem, Israel",Female,White,Straight,Actor
